customer_id,First Name,LastName,customer_email
CUST001,Customer_1,X,customer1@example.com
CUST002,Customer_2,Y,customer2@example.com
CUST003,Customer_3,x,customer3@example.com
CUST004,Customer_4,z,customer4@example.com
CUST005,Customer_5,X,customer5@example.com
CUST006,Customer_6,Y,customer6@example.com
CUST007,Customer_7,x,customer7@example.com
CUST008,Customer_8,z,customer8@example.com
CUST009,Customer_9,a,customer9@example.com
CUST010,Customer_10,bc,customer10@example.com
CUST011,Customer_11,xy,customer11@example.com
CUST012,Arun,Kumar,Arun@example.com
